Rank,Player_ID,Year,Game,Total_Year,Total_Game,Total_Others,per_of_Game,Total_Overall,per_of_Total,PlayerName,Nationality
1,Parasite,2013,Call of Duty,114353.87,114353.87,0,100.00%,191524.68,59.71%,Chris Duarte,United States 
2,Karma,2013,Call of Duty,114789.11,114289.12,499.99,99.56%,421347.25,27.12%,Damon Barlow,Canada 
3,Killa,2013,Call of Duty,113526.37,113026.37,500,99.56%,172253.94,65.62%,Adam Sloss,United States 
4,MiRx,2013,Call of Duty,112901.37,112901.37,0,100.00%,142730.47,79.10%,Marcus Carter,United States 
5,StaiNViLLe,2013,Call of Duty,56684.23,56684.23,0,100.00%,71420.48,79.37%,Tosh Mcgruder,United States 
6,Rambo,2013,Call of Duty,55829.23,54579.23,1250,97.76%,122718.53,44.48%,Raymond Lussier,Canada 
7,Proofy,2013,Call of Duty,54579.23,54579.23,0,100.00%,93440.37,58.41%,Jordan Cannon,United States 
8,JKap,2013,Call of Duty,54184.23,54184.23,0,100.00%,459367.98,11.80%,Jordan Kaplan,United States 
9,Crimsix,2013,Call of Duty,55917.5,54042.5,1875,96.65%,404601.14,13.36%,Ian Porter,United States 
10,Teepee,2013,Call of Duty,55917.5,54042.5,1875,96.65%,209462.03,25.80%,Tyler Polchow,United States 
11,Aches,2013,Call of Duty,56987.5,53862.5,3125,94.52%,265931.76,20.25%,Patrick Price,United States 
12,MerK,2013,Call of Duty,37095,35220,1875,94.95%,238496.55,14.77%,Joseph Deluca,United States 
13,Scump,2013,Call of Duty,36700,34825,1875,94.89%,306293.68,11.37%,Seth Abner,United States 
14,NaDeSHoT,2013,Call of Duty,36700,34825,1875,94.89%,206096.25,16.90%,Matthew Haag,United States 
15,BigTymer,2013,Call of Duty,36700,34825,1875,94.89%,161364.3,21.58%,William Johnson,United States 
16,Clayster,2013,Call of Duty,32292.5,31042.5,1250,96.13%,287523.25,10.80%,James Eubanks,United States 
17,TuQuick,2013,Call of Duty,26500,26000,500,98.11%,37435.71,69.45%,Aaron Chang,United States 
18,Sharp,2013,Call of Duty,21515,21515,0,100.00%,54091.38,39.78%,Brandon Rodgers,United States 
19,Jurd,2013,Call of Duty,20519.26,20519.26,0,100.00%,91703.9,22.38%,Jordan Crowley,Ireland 
20,John,2013,Call of Duty,22000,20250,1750,92.05%,274441.26,7.38%,Johnathan Perez,United States 
21,Assass1n,2013,Call of Duty,17500,17500,0,100.00%,26700,65.54%,Robert Walsh,United States 
22,Moho,2013,Call of Duty,17500,17500,0,100.00%,21000,83.33%,Joey Morehouse,United States 
23,XLNC,2013,Call of Duty,16808.06,16087.41,720.65,95.71%,70436.9,22.84%,Nicholas Ward,United Kingdom 
24,McGee,2013,Call of Duty,15124.23,15124.22,0.01,100.00%,16735.41,90.37%,Darren McGee,Ireland
25,Theory,2013,Call of Duty,14265,14265,0,100.00%,47815,29.83%,Dylan McGee,United States 
26,LuCkY,2013,Call of Duty,14092.13,14092.13,0,100.00%,14092.13,100.00%,James Rossiter,Ireland
27,Swanny,2013,Call of Duty,12517.96,12217.7,300.26,97.60%,91897.26,13.29%,Callum Swan,United Kingdom
28,Replays,2013,Call of Duty,10812.5,10812.5,0,100.00%,159660.5,6.77%,Chris Crowder,United States 
29,Realize,2013,Call of Duty,10500,10500,0,100.00%,11257.5,93.27%,Derrek Jordan,United States 
30,CompleX,2013,Call of Duty,10500,10500,0,100.00%,10610,98.96%,"Duc, Nguyen Ho",United States 
31,ShAnE,2013,Call of Duty,7762.95,7462.68,300.27,96.13%,47903.33,15.58%,Shane McKerral,United Kingdom
32,Donnyy,2013,Call of Duty,6300,6300,0,100.00%,6319.01,99.70%,Francesco Majolo,Italy 
33,Kolgaa,2013,Call of Duty,6300,6300,0,100.00%,6319.01,99.70%,Leonardo Nisi,Italy 
34,Lukman,2013,Call of Duty,6300,6300,0,100.00%,6300,100.00%,Luca Mancarella,Italy 
35,Gunshy,2013,Call of Duty,5762.68,5462.41,300.27,94.79%,74795.99,7.30%,Thomas Jones,United Kingdom
36,Tommey,2013,Call of Duty,5378.67,4658.02,720.65,86.60%,90131.44,5.17%,Thomas Trewren,United Kingdom
37,Rich,2013,Call of Duty,4803.65,4623.49,180.16,96.25%,6968.94,66.34%,Richard Cook,United Kingdom
38,Monksy,2013,Call of Duty,4623.49,4623.49,0,100.00%,6004.99,76.99%,Ryan Monks,United Kingdom
39,MadCat,2013,Call of Duty,4779.69,4599.52,180.17,96.23%,78336.47,5.87%,Dylan Dally,United Kingdom
40,MarkyB,2013,Call of Duty,4242.74,4242.74,0,100.00%,53914,7.87%,Mark Bryceland,United Kingdom
41,Flux,2013,Call of Duty,4310.91,4130.75,180.16,95.82%,8069.58,51.19%,Ryan Oldfield,United Kingdom
42,Krnage,2013,Call of Duty,3768.83,3768.83,0,100.00%,10330.56,36.48%,Jordy Mercier,France
43,Neslo,2013,Call of Duty,3765,3765,0,100.00%,22578.75,16.67%,Jeremy Olsen,United States 
44,Joshh,2013,Call of Duty,3663.39,3483.22,180.17,95.08%,118696.14,2.93%,Joshua-Lee Shephard,United Kingdom
45,Slacked,2013,Call of Duty,3937.5,3312.5,625,84.13%,97272.15,3.41%,Josiah Berry,United States 
46,SpaceLy,2013,Call of Duty,3937.5,3312.5,625,84.13%,37453.75,8.84%,Michael Schmale,United States 
47,Huhdle,2013,Call of Duty,3937.5,3312.5,625,84.13%,9120.9,36.32%,Josh Piha,United States 
48,Maxxie,2013,Call of Duty,3228.27,3228.26,0.01,100.00%,21353.03,15.12%,Maxime Ebran,France
49,Riskin,2013,Call of Duty,3228.27,3228.26,0.01,100.00%,9212.96,35.04%,Cl?ment Hatt?e,France
50,Bissell,2013,Call of Duty,3202.94,3202.94,0,100.00%,4877.47,65.67%,Sam Bissell,United Kingdom
51,PHiZZURP,2013,Call of Duty,2800,2800,0,100.00%,19553.22,14.32%,Phillip Klemenov,United States 
52,Xanity,2013,Call of Duty,3433.33,2712.68,720.65,79.01%,3433.33,79.01%,Jay Bajwe,United Kingdom
53,Dedo,2013,Call of Duty,2680,2680,0,100.00%,58276.7,4.60%,Ken Dedo,United States 
54,VintaGe,2013,Call of Duty,2577.94,2577.94,0,100.00%,3451.39,74.69%,Ben Walker,United Kingdom
55,Schillez,2013,Call of Duty,2500,2500,0,100.00%,2750,90.91%,Kale Schille,United States 
56,Nameless,2013,Call of Duty,2425,2425,0,100.00%,109763.41,2.21%,Anthony Wheeler,United States 
57,Jake,2013,Call of Duty,2608.48,2308.2,300.28,88.49%,6225.9,37.07%,Jake Dalton,United Kingdom
58,Ricky,2013,Call of Duty,2125,2125,0,100.00%,79494.11,2.67%,Ricky Stacy,United States 
59,TwiZz,2013,Call of Duty,1800,1800,0,100.00%,12704.62,14.17%,Eric Servello,United States 
60,Mboze,2013,Call of Duty,1550,1550,0,100.00%,72446.6,2.14%,Marcus Blanks,United States 
61,Methodz,2013,Call of Duty,1550,1550,0,100.00%,9055,17.12%,Anthony Zinni,United States 
62,Torres,2013,Call of Duty,1528.19,1528.19,0,100.00%,2679.9,57.02%,Silvano Mombarg,Netherlands
63,Saints,2013,Call of Duty,1500,1500,0,100.00%,104342.5,1.44%,Renato Forza,United States 
64,Blfire,2013,Call of Duty,1500,1500,0,100.00%,23836.25,6.29%,Michael Glushenok,United States 
65,CMPLX,2013,Call of Duty,1500,1500,0,100.00%,1500,100.00%,Aaron Vetelino,United States 
66,Rush,2013,Call of Duty,1478.19,1478.19,0,100.00%,3058.81,48.33%,Kelvin Bosman,Netherlands
67,Crazy,2013,Call of Duty,1392.93,1392.93,0,100.00%,1458.42,95.51%,Harri Lye,United Kingdom
68,Broken,2013,Call of Duty,1358.49,1358.49,0,100.00%,6451.1,21.06%,Kevin Georges,France
69,LyaR,2013,Call of Duty,1300,1300,0,100.00%,12230.36,10.63%,Ray Loftus,United States 
70,Heist,2013,Call of Duty,1250,1250,0,100.00%,1250,100.00%,Garrett Mercure,United States 
71,Peatie,2013,Call of Duty,1207.39,1207.39,0,100.00%,45660.75,2.64%,Adam Peate,United Kingdom
72,Goonjar,2013,Call of Duty,1187.5,1187.5,0,100.00%,45452.18,2.61%,Jevon Gooljar,Canada 
73,aMaZe,2013,Call of Duty,1138.45,1138.45,0,100.00%,1388.02,82.02%,Andrew McClure,United Kingdom
74,Momo,2013,Call of Duty,1032.1,1032.1,0,100.00%,1901.57,54.28%,Philip Whitfield,United Kingdom
75,KyLee,2013,Call of Duty,1032.1,1032.1,0,100.00%,1032.1,100.00%,Kyle McCallum,United Kingdom
76,MeLo,2013,Call of Duty,1015.29,1015.29,0,100.00%,1080.78,93.94%,Jordan Riley,United Kingdom
77,oxygenJF,2013,Call of Duty,949.76,949.76,0,100.00%,949.75,100.00%,Jonas Ferry,France
78,KniFeR,2013,Call of Duty,933.59,933.59,0,100.00%,1231.71,75.80%,Pascal van Dijk,Netherlands 
79,Luke,2013,Call of Duty,896.4,896.4,0,100.00%,896.4,100.00%,Luke Edwards,United Kingdom
80,Gotaga,2013,Call of Duty,765.2,765.2,0,100.00%,14886.5,5.14%,Corentin Houssein,France
81,Zayrox,2013,Call of Duty,593.29,593.29,0,100.00%,11358.46,5.22%,Arthur Chabas,France
82,Yako,2013,Call of Duty,593.29,593.29,0,100.00%,593.29,100.00%,- -,France
83,Diablo,2013,Call of Duty,540.56,540.56,0,100.00%,818.29,66.06%,Samir Peru,France
84,Kivi,2013,Call of Duty,485.84,485.84,0,100.00%,593.49,81.86%,Kevin Fiala,Austria 
85,GunElite,2013,Call of Duty,485.84,485.84,0,100.00%,512.08,94.88%,Massi Safi,Germany 
86,RocKz,2013,Call of Duty,485.84,485.84,0,100.00%,485.84,100.00%,Lukas Stach,Germany 
87,Rron,2013,Call of Duty,485.84,485.84,0,100.00%,485.84,100.00%,Rron Meta,Germany 
88,Melo,2013,Call of Duty,457.96,457.96,0,100.00%,3139.82,14.59%,Alexandre Boin,France
89,cy0x,2013,Call of Duty,408.27,408.27,0,100.00%,408.27,100.00%,Aykut Orhan,Germany 
90,Para,2013,Call of Duty,408.27,408.27,0,100.00%,408.27,100.00%,?mer -,Germany 
91,Storm,2013,Call of Duty,408.27,408.27,0,100.00%,408.27,100.00%,Steffen Ludwig,Germany 
92,TraX,2013,Call of Duty,408.27,408.27,0,100.00%,408.27,100.00%,Alex Dillmann,Germany 
93,Xylon,2013,Call of Duty,408.27,408.27,0,100.00%,408.27,100.00%,- -,Germany 
94,Robz,2013,Call of Duty,393.24,393.24,0,100.00%,1278.45,30.76%,Joe Roberts,United Kingdom
95,Moose,2013,Call of Duty,390.29,390.29,0,100.00%,41368.95,0.94%,Thomas Handley,United Kingdom
96,ReaLiZe,2013,Call of Duty,390.29,390.29,0,100.00%,4198.67,9.30%,Josh Taylor,United Kingdom
97,Legend,2013,Call of Duty,390.29,390.29,0,100.00%,455.78,85.63%,Jonny Gutteridge,United Kingdom
98,AmaZe,2013,Call of Duty,390.29,390.29,0,100.00%,390.29,100.00%,Alex Alvanos,Greece 
99,FEARS,2013,Call of Duty,390.29,390.29,0,100.00%,390.29,100.00%,Thodoris Fillipidis,Greece 
100,MaYoKoO,2013,Call of Duty,390.29,390.29,0,100.00%,390.29,100.00%,Spyros Dimitriadis,Greece 
1,Karma,2014,Call of Duty,122006.76,121056.76,950,99.22%,421347.25,28.73%,Damon Barlow,Canada 
2,Crimsix,2014,Call of Duty,124686.76,119236.76,5450,95.63%,404601.14,29.47%,Ian Porter,United States 
3,Aches,2014,Call of Duty,124686.76,119236.76,5450,95.63%,265931.76,44.84%,Patrick Price,United States 
4,Teepee,2014,Call of Duty,124686.76,119236.76,5450,95.63%,209462.03,56.93%,Tyler Polchow,United States 
5,Nameless,2014,Call of Duty,70664.95,69286.2,1378.75,98.05%,109763.41,63.12%,Anthony Wheeler,United States 
6,MerK,2014,Call of Duty,69036.2,68536.2,500,99.28%,238496.55,28.74%,Joseph Deluca,United States 
7,Studyy,2014,Call of Duty,58786.2,57286.2,1500,97.45%,84298.7,67.96%,Jeremy Astacio,United States 
8,Rambo,2014,Call of Duty,51125,50625,500,99.02%,122718.53,41.25%,Raymond Lussier,Canada 
9,Clayster,2014,Call of Duty,41097.5,36097.5,5000,87.83%,287523.25,12.55%,James Eubanks,United States 
10,Apathy,2014,Call of Duty,36162.5,35912.5,250,99.31%,289572.5,12.40%,Bryan Zhelyazkov,United States 
11,Scump,2014,Call of Duty,35542.5,35542.5,0,100.00%,306293.68,11.60%,Seth Abner,United States 
12,NaDeSHoT,2014,Call of Duty,35542.5,35542.5,0,100.00%,206096.25,17.25%,Matthew Haag,United States 
13,Censor,2014,Call of Duty,34737.8,34487.8,250,99.28%,53987.3,63.88%,Douglas Martin,United States 
14,Mboze,2014,Call of Duty,35330.6,33830.6,1500,95.75%,72446.6,46.70%,Marcus Blanks,United States 
15,Dedo,2014,Call of Duty,33237.8,32987.8,250,99.25%,58276.7,56.61%,Ken Dedo,United States 
16,Saints,2014,Call of Duty,34795,32695,2100,93.96%,104342.5,31.33%,Renato Forza,United States 
17,JKap,2014,Call of Duty,28500,28500,0,100.00%,459367.98,6.20%,Jordan Kaplan,United States 
18,FormaL,2014,Call of Duty,19172.8,19172.8,0,100.00%,272644.68,7.03%,Matthew Piper,United States 
19,Proofy,2014,Call of Duty,18542.5,18042.5,500,97.30%,93440.37,19.31%,Jordan Cannon,United States 
20,Denz,2014,Call of Duty,17732.65,17732.65,0,100.00%,63608.85,27.88%,Denholm Taylor,Australia
21,Damage,2014,Call of Duty,17732.65,17732.65,0,100.00%,31822.99,55.72%,Hayden Handakas,Australia
22,Chilean,2014,Call of Duty,17732.65,17732.65,0,100.00%,29850.57,59.40%,Billie-Jake Parra,Australia
23,Iskatuu,2014,Call of Duty,17732.65,17732.65,0,100.00%,18744.93,94.60%,Issei Chimura,Australia
24,Replays,2014,Call of Duty,17250,17250,0,100.00%,159660.5,10.80%,Chris Crowder,United States 
25,Classic,2014,Call of Duty,16000,16000,0,100.00%,134611.5,11.89%,Nicholas Di Costanzo,United States 
26,Parasite,2014,Call of Duty,11944.95,11166.2,778.75,93.48%,191524.68,5.83%,Chris Duarte,United States 
27,Gunshy,2014,Call of Duty,10467.33,10058.03,409.3,96.09%,74795.99,13.45%,Thomas Jones,United Kingdom
28,MarkyB,2014,Call of Duty,10467.33,10058.03,409.3,96.09%,53914,18.66%,Mark Bryceland,United Kingdom
29,Moose,2014,Call of Duty,10467.33,10058.03,409.3,96.09%,41368.95,24.31%,Thomas Handley,United Kingdom
30,Loony,2014,Call of Duty,10000,10000,0,100.00%,104689.02,9.55%,Daniel Loza,United States 
31,Whea7s,2014,Call of Duty,10000,10000,0,100.00%,40721.25,24.56%,Jamal Lee,United States 
32,Pacman,2014,Call of Duty,10000,10000,0,100.00%,20928.75,47.78%,Jonathan Tucker,United States 
33,FeaRs,2014,Call of Duty,9500,9250,250,97.37%,29950,30.88%,Damod Abney,United States 
34,Joshh,2014,Call of Duty,7960.67,7821.51,139.16,98.25%,118696.14,6.59%,Joshua-Lee Shephard,United Kingdom
35,Swanny,2014,Call of Duty,7821.51,7821.51,0,100.00%,91897.26,8.51%,Callum Swan,United Kingdom
36,Jurd,2014,Call of Duty,7821.51,7821.51,0,100.00%,91703.9,8.53%,Jordan Crowley,Ireland 
37,Tommey,2014,Call of Duty,8026.16,7821.51,204.65,97.45%,90131.44,8.68%,Thomas Trewren,United Kingdom
38,Sharp,2014,Call of Duty,11022.5,7347.5,3675,66.66%,54091.38,13.58%,Brandon Rodgers,United States 
39,Killa,2014,Call of Duty,9120.6,7145.6,1975,78.35%,172253.94,4.15%,Adam Sloss,United States 
40,MiRx,2014,Call of Duty,7924.35,7145.6,778.75,90.17%,142730.47,5.01%,Marcus Carter,United States 
41,Ricky,2014,Call of Duty,8495.6,6395.6,2100,75.28%,79494.11,8.05%,Ricky Stacy,United States 
42,Goonjar,2014,Call of Duty,10022.5,6347.5,3675,63.33%,45452.18,13.97%,Jevon Gooljar,Canada 
43,Demon,2014,Call of Duty,6250,6250,0,100.00%,6250,100.00%,- -,Canada 
44,iLLSKiLL,2014,Call of Duty,6250,6250,0,100.00%,6250,100.00%,- -,Canada 
45,Mech,2014,Call of Duty,6250,6250,0,100.00%,6250,100.00%,- -,Canada 
46,Slumber,2014,Call of Duty,6250,6250,0,100.00%,6250,100.00%,- -,Canada 
47,Neslo,2014,Call of Duty,9435,5760,3675,61.05%,22578.75,25.51%,Jeremy Olsen,United States 
48,MadCat,2014,Call of Duty,5314.54,5175.38,139.16,97.38%,78336.47,6.61%,Dylan Dally,United Kingdom 
49,ZooMaa,2014,Call of Duty,4750,4750,0,100.00%,107024,4.44%,Tom Paparratto,United States 
50,Slasher,2014,Call of Duty,4433.4,4433.4,0,100.00%,315533.4,1.41%,Austin Liddicoat,United States 
51,Theory,2014,Call of Duty,7925,4250,3675,53.63%,47815,8.89%,Dylan McGee,United States 
52,Slacked,2014,Call of Duty,4183.4,4183.4,0,100.00%,97272.15,4.30%,Josiah Berry,United States 
53,Huhdle,2014,Call of Duty,4183.4,4183.4,0,100.00%,9120.9,45.87%,Josh Piha,United States 
54,Mochila,2014,Call of Duty,3945,3945,0,100.00%,50153.5,7.87%,Steve Canle,United States 
55,Burnsoff,2014,Call of Duty,4045,3945,100,97.53%,30917.5,12.76%,Matthew Potthoff,United States 
56,SpaceLy,2014,Call of Duty,3875,3875,0,100.00%,37453.75,10.35%,Michael Schmale,United States 
57,Chino,2014,Call of Duty,5250,3750,1500,71.43%,31967.75,11.73%,Martin Chino,United States 
58,Sender,2014,Call of Duty,3750,3750,0,100.00%,26064.37,14.39%,Troy Michaels,United States 
59,Miyagi,2014,Call of Duty,3750,3750,0,100.00%,4236,88.53%,Danny Ho,United States 
60,Enable,2014,Call of Duty,3195,3195,0,100.00%,194588.79,1.64%,Ian Wyatt,United States 
61,Tipsy,2014,Call of Duty,4695,3195,1500,68.05%,4695,68.05%,Vaughn Brown,United States 
62,Peatie,2014,Call of Duty,2755.78,2755.78,0,100.00%,45660.75,6.04%,Adam Peate,United Kingdom 
63,ShAnE,2014,Call of Duty,1875,1875,0,100.00%,47903.33,3.91%,Shane McKerral,United Kingdom 
64,Gotaga,2014,Call of Duty,1896.48,1691.82,204.66,89.21%,14886.5,11.36%,Corentin Houssein,France
65,Krnage,2014,Call of Duty,1896.48,1691.82,204.66,89.21%,10330.56,16.38%,Jordy Mercier,France
66,Riskin,2014,Call of Duty,1691.83,1691.82,0.01,100.00%,9212.96,18.36%,Cl?ment Hatt?e,France
67,Broken,2014,Call of Duty,1896.48,1691.82,204.66,89.21%,6451.1,26.23%,Kevin Georges,France
68,Attach,2014,Call of Duty,1625,1625,0,100.00%,205642,0.79%,Dillon Price,United States 
69,Vortex,2014,Call of Duty,1250,1250,0,100.00%,12104.92,10.33%,Brandon Gomes,France
70,Malls,2014,Call of Duty,1250,1250,0,100.00%,10871.25,11.50%,Eddy Maillard,France
71,ZylewR,2014,Call of Duty,1250,1250,0,100.00%,5831.88,21.43%,Julien Louis,France
72,MysTK,2014,Call of Duty,1250,1250,0,100.00%,1774.6,70.44%,Sacha R.,France
73,Methodz,2014,Call of Duty,1212.5,1212.5,0,100.00%,9055,13.39%,Anthony Zinni,United States 
74,Reedy,2014,Call of Duty,787.65,787.65,0,100.00%,27939.78,2.82%,Jordan Reed,United Kingdom 
75,Revan,2014,Call of Duty,750,750,0,100.00%,4535.71,16.54%,Juan Boble,United States 
76,PLuTo,2014,Call of Duty,683.4,683.4,0,100.00%,4650.07,14.70%,Craig Walker,United States 
77,Rated,2014,Call of Duty,650.53,650.53,0,100.00%,90864.12,0.72%,Rhys Price,United Kingdom 
78,Robz,2014,Call of Duty,650.53,650.53,0,100.00%,1278.45,50.88%,Joe Roberts,United Kingdom 
79,Endura,2014,Call of Duty,650.53,650.53,0,100.00%,650.53,100.00%,Brad Hughes,United Kingdom 
80,BenjiiiiK,2014,Call of Duty,518.06,518.06,0,100.00%,518.06,100.00%,- -,France
81,HeeziAAA,2014,Call of Duty,518.06,518.06,0,100.00%,518.06,100.00%,- -,France
82,MiSaA,2014,Call of Duty,518.06,518.06,0,100.00%,518.06,100.00%,- -,France
83,Starz,2014,Call of Duty,518.06,518.06,0,100.00%,518.06,100.00%,- -,France
84,Flux,2014,Call of Duty,913.04,503.75,409.29,55.17%,8069.58,6.24%,Ryan Oldfield,United Kingdom 
85,Blfire,2014,Call of Duty,500,500,0,100.00%,23836.25,2.10%,Michael Glushenok,United States 
86,Joee,2014,Call of Duty,411.35,411.35,0,100.00%,97511.02,0.42%,Joe Pinnington,United Kingdom 
87,Joocybrah,2014,Call of Duty,411.35,411.35,0,100.00%,488.83,84.15%,Harry Smith,United Kingdom 
88,DEVR,2014,Call of Duty,411.35,411.35,0,100.00%,411.35,100.00%,Connor Clarke,United Kingdom 
89,Reece,2014,Call of Duty,411.35,411.35,0,100.00%,411.35,100.00%,Reece Grover,United Kingdom 
90,John,2014,Call of Duty,485,375,110,77.32%,274441.26,0.14%,Johnathan Perez,United States 
91,PHiZZURP,2014,Call of Duty,735,375,360,51.02%,19553.22,1.92%,Phillip Klemenov,United States 
92,Realize,2014,Call of Duty,625,375,250,60.00%,11257.5,3.33%,Derrek Jordan,United States 
93,Wolf,2014,Call of Duty,475,375,100,78.95%,850.26,44.10%,Brennan Lockhart,United States 
94,Demented,2014,Call of Duty,375,375,0,100.00%,675,55.56%,Bailey Lockhart,United States 
95,Intake,2014,Call of Duty,375,375,0,100.00%,375,100.00%,Jake Keck,United States 
96,Shock,2014,Call of Duty,375,375,0,100.00%,375,100.00%,- -,United States 
97,BuZZO,2014,Call of Duty,372.24,372.24,0,100.00%,50813.2,0.73%,Mitchell Mader,Australia 
98,Fighta,2014,Call of Duty,372.24,372.24,0,100.00%,50638.62,0.74%,Lincoln Ferguson,Australia 
99,Shockz,2014,Call of Duty,372.24,372.24,0,100.00%,50395.36,0.74%,Conrad Rymarek,Australia 
100,Naked,2014,Call of Duty,372.24,372.24,0,100.00%,2654.53,14.02%,Albert Nassif,Australia 
1,Attach,2015,Call of Duty,145954.5,143167,2787.5,98.09%,205642,69.62%,Dillon Price,United States 
2,Clayster,2015,Call of Duty,144195.75,142369.5,1826.25,98.73%,287523.25,49.52%,James Eubanks,United States 
3,JKap,2015,Call of Duty,121701.25,119875,1826.25,98.50%,459367.98,26.10%,Jordan Kaplan,United States 
4,Replays,2015,Call of Duty,121535.5,119080.5,2455,97.98%,159660.5,74.58%,Chris Crowder,United States 
5,Crimsix,2015,Call of Duty,103207.5,97391.25,5816.25,94.36%,404601.14,24.07%,Ian Porter,United States 
6,FormaL,2015,Call of Duty,102732.5,97270,5462.5,94.68%,272644.68,35.68%,Matthew Piper,United States 
7,Scump,2015,Call of Duty,102847.5,97031.25,5816.25,94.34%,306293.68,31.68%,Seth Abner,United States 
8,Enable,2015,Call of Duty,85497,82035.75,3461.25,95.95%,194588.79,42.16%,Ian Wyatt,United States 
9,Slasher,2015,Call of Duty,69767.5,64697.5,5070,92.73%,315533.4,20.50%,Austin Liddicoat,United States 
10,Karma,2015,Call of Duty,63787,63474.5,312.5,99.51%,421347.25,15.06%,Damon Barlow,Canada 
11,Nagafen,2015,Call of Duty,62738.5,62086,652.5,98.96%,121951,50.91%,Jared Harrell,United States 
12,Remy,2015,Call of Duty,61423.5,60771,652.5,98.94%,77723.5,78.19%,Remington Ihringer,United States 
13,Aqua,2015,Call of Duty,59700,59700,0,100.00%,131897.5,45.26%,Ulysses Silva,United States 
14,Classic,2015,Call of Duty,57431.5,55762.75,1668.75,97.09%,134611.5,41.42%,Nicholas Di Costanzo,United States 
15,Faccento,2015,Call of Duty,55131.33,54948,183.33,99.67%,126078.83,43.58%,Brice Faccento,United States 
16,Parasite,2015,Call of Duty,47363.38,44799.63,2563.75,94.59%,191524.68,23.39%,Chris Duarte,United States 
17,ZooMaa,2015,Call of Duty,45836.5,43381.5,2455,94.64%,107024,40.53%,Tom Paparratto,United States 
18,Aches,2015,Call of Duty,39645,36527.5,3117.5,92.14%,265931.76,13.74%,Patrick Price,United States 
19,Ricky,2015,Call of Duty,38124.75,35781,2343.75,93.85%,79494.11,45.01%,Ricky Stacy,United States 
20,Mboze,2015,Call of Duty,35566,35253.5,312.5,99.12%,72446.6,48.66%,Marcus Blanks,United States 
21,Huke,2015,Call of Duty,35632.25,34719.75,912.5,97.44%,195007.25,17.80%,Cuyler Garland,United States 
22,Mochila,2015,Call of Duty,37033.5,33037.25,3996.25,89.21%,50153.5,65.87%,Steve Canle,United States 
23,TJHaly,2015,Call of Duty,29305.25,28257.75,1047.5,96.43%,29305.25,96.43%,Tommy Haly,United States 
24,Temp,2015,Call of Duty,27790.75,27790.75,0,100.00%,27790.75,100.00%,Donovan Laroda,United States 
25,Saints,2015,Call of Duty,28285,25678.75,2606.25,90.79%,104342.5,24.61%,Renato Forza,United States 
26,Slacked,2015,Call of Duty,26456.25,24862.5,1593.75,93.98%,97272.15,25.56%,Josiah Berry,United States 
27,NaDeSHoT,2015,Call of Duty,30553.75,24737.5,5816.25,80.96%,206096.25,12.00%,Matthew Haag,United States 
28,Loony,2015,Call of Duty,24244.02,23471.52,772.5,96.81%,104689.02,22.42%,Daniel Loza,United States 
29,Whea7s,2015,Call of Duty,22971.25,22840,131.25,99.43%,40721.25,56.09%,Jamal Lee,United States 
30,Burnsoff,2015,Call of Duty,21810,21810,0,100.00%,30917.5,70.54%,Matthew Potthoff,United States 
31,Goonjar,2015,Call of Duty,20365.13,19135.13,1230,93.96%,45452.18,42.10%,Jevon Gooljar,Canada
32,Anticity,2015,Call of Duty,18605.25,18605.25,0,100.00%,18605.25,100.00%,Spencer Askins,United States 
33,Blfire,2015,Call of Duty,18011.25,18011.25,0,100.00%,23836.25,75.56%,Michael Glushenok,United States 
34,Denz,2015,Call of Duty,15576.69,15576.69,0,100.00%,63608.85,24.49%,Denholm Taylor,Australia 
35,BuZZO,2015,Call of Duty,15576.69,15576.69,0,100.00%,50813.2,30.65%,Mitchell Mader,Australia 
36,Fighta,2015,Call of Duty,15576.69,15576.69,0,100.00%,50638.62,30.76%,Lincoln Ferguson,Australia 
37,Shockz,2015,Call of Duty,15576.69,15576.69,0,100.00%,50395.36,30.91%,Conrad Rymarek,Australia 
38,Octane,2015,Call of Duty,15568.75,15568.75,0,100.00%,76748.75,20.29%,Sam Larew,United States 
39,Sharp,2015,Call of Duty,16041.38,15268.88,772.5,95.18%,54091.38,28.23%,Brandon Rodgers,United States 
40,Theory,2015,Call of Duty,14812.5,14040,772.5,94.78%,47815,29.36%,Dylan McGee,United States 
41,MadCat,2015,Call of Duty,13643.88,12858.98,784.9,94.25%,78336.47,16.42%,Dylan Dally,United Kingdom 
42,Tommey,2015,Call of Duty,12209.57,12209.54,0.03,100.00%,90131.44,13.55%,Thomas Trewren,United Kingdom 
43,Jurd,2015,Call of Duty,11278.68,10271.58,1007.1,91.07%,91703.9,11.20%,Jordan Crowley,Ireland
44,Swanny,2015,Call of Duty,10229.45,10229.44,0.01,100.00%,91897.26,11.13%,Callum Swan,United Kingdom 
45,Joshh,2015,Call of Duty,10792.83,10007.91,784.92,92.73%,118696.14,8.43%,Joshua-Lee Shephard,United Kingdom 
46,Joee,2015,Call of Duty,9574.67,9574.65,0.02,100.00%,97511.02,9.82%,Joe Pinnington,United Kingdom 
47,Peatie,2015,Call of Duty,10142.42,9357.52,784.9,92.26%,45660.75,20.49%,Adam Peate,United Kingdom 
48,Nameless,2015,Call of Duty,10618.1,8791.85,1826.25,82.80%,109763.41,8.01%,Anthony Wheeler,United States 
49,MiRx,2015,Call of Duty,8779.75,8408.5,371.25,95.77%,142730.47,5.89%,Marcus Carter,United States 
